Index,Product Company Name: ,Product Name: ,Product MRP: ,Product Price: ,Dicount Information,Product Details ,Product Code,Seller Information,Source of Product
139,"""UNDER ARMOUR""","""Men Black Project Rock Blood Sweat Respect Tank T-shirt""",Rs. 2999,Rs. 2999,0,"""{'Product Details ': '""Special technologies4-way stretch construction moves better in every directionMaterial wicks sweat and\xa0dries really fastProduct design detailsLoose:\xa0Fuller cut for complete comfortCharged Cotton\xa0has the comfort of cotton, but dries much fasterGenerous dropped armholes for added mobility and\xa0full range of motionRibbed collarDropped, shaped hemDistressed graphic""', 'Size & Fit': '""The model (height 6\') is wearing a size M""', 'Material & Care': '""57% cotton, 38% polyester and 5% elastaneMachine-wash""', 'Specifications': '""""Fabric:Cotton,Fabric 2:Polyester,Fabric 3:Elastane,Fit:Loose,Length:Regular,Main Trend:Typography or Slogan Prints,Multipack Set:Single,Neck:Round Neck,Occasion:Sports,Pattern:Printed,Pattern Coverage:Chest,Print or Pattern Type:Typography,Sleeve Length:Sleeveless,Sleeve Styling:No Sleeves,Wash Care:Machine Wash,""""'}""",10819368,Sold by: Supercom Net  Supercom Net ,"""Manufacturer/Packer/Importer Details::CHERRY (SUZHOU) GARMENT LTD WUZHONG ECONOMIC DEVELOPMENT ZONE SUZHOU 215124-----Country of origin::China-----"""
140,"""Mast & Harbour""","""Men Blue & Yellow Printed Round Neck T-shirt""",Rs. 599,Rs. 599,0,"""{'Product Details ': '""Blue and yellow printed T-shirt, has a round neck, and short sleeves""', 'Size & Fit': '""The model (height 6\') is wearing a size M""', 'Material & Care': '""Material: 100% cottonMachine Wash""', 'Specifications': '""""Fabric:Cotton,Fit:Regular Fit,Length:Regular,Main Trend:Typography or Slogan Prints,Multipack Set:Single,Neck:Round Neck,Occasion:Casual,Pattern:Printed,Pattern Coverage:Placement,Print or Pattern Type:Typography,Sleeve Length:Short Sleeves,Sleeve Styling:Regular Sleeves,Wash Care:Machine Wash,""""'}""",11191410,Sold by: Truecom Retail  Truecom Retail ,"""Manufacturer/Packer/Importer Details::DIMYRA INTERNATIONAL,DIMYRA INTERNATIONAL ,B XXXX11-E-2- 2668-7,ST NO 4 GURU VIHAR ,RAHON ROAD,LUDHIANA,LUDHIANA,PUNJAB,141007-----Country of origin::India-----"""
141,"""Roadster""","""Time Travlr Men Navy & Charcoal Grey Colourblocked Polo T-shirt""",Rs. 899,Rs. 359,(60% OFF),"""{'Product Details ': '""Navy blue and charcoal grey colourblocked T-shirt, has a polo collar, a short button placket, short sleeves""', 'Size & Fit': '""The model (height 6\') is wearing a size M""', 'Material & Care': '""100% cotton Machine-wash""', 'Specifications': '""""Fabric:Cotton,Fit:Regular Fit,Length:Regular,Main Trend:Colourblocked,Multipack Set:Single,Neck:Polo Collar,Occasion:Casual,Pattern:Colourblocked,Print or Pattern Type:Colourblocked,Sleeve Length:Short Sleeves,Sleeve Styling:Regular Sleeves,Wash Care:Machine Wash,""""'}""",1827344,Sold by: Truenet Commerce  Truenet Commerce ,"""Manufacturer/Packer/Importer Details::YORK EXPORTS,SHERPUR BYEPASS,G.T ROAD,LUDHIANA-141003,(PUNJAB),Ludhiana,Punjab,141003-----Country of origin::INDIA-----"""
142,"""Maniac""","""Men's Solid Full Sleeves Raglan Neck Black Cotton T-shirt""",Rs. 1269,Rs. 380,(70% OFF),"""{'Product Details ': '""To perfect an easy going look, you must get this full sleeves T-shirt from the house of Maniac. Made out from 100% cotton fabric, this trendy T-shirt will be one of your smartest and worthiest picks till date. Team it over a pair of blue jeans complemented by sneakers to attain a stylish out look when you go to hang out with friends.""', 'Size & Fit': '""The model (height 6\') is wearing a size M""', 'Material & Care': '""100% Cotton,Machine wash as per tag.""', 'Specifications': '""""Fabric:Cotton,Fit:Slim Fit,Length:Regular,Main Trend:New Basics,Multipack Set:Single,Neck:Round Neck,Occasion:Casual,Pattern:Solid,Print or Pattern Type:Solid,Sleeve Length:Long Sleeves,Sleeve Styling:Raglan Sleeves,Wash Care:Machine Wash,""""'}""",8591489,Sold by: Supercom Net  Supercom Net ,"""Manufacturer/Packer/Importer Details::FRISKE KNITS,2/441,KANIYAMPOONDI ROAD,OPP TO UNI SOURCE TREND,AVINASHI,Tiruppur,Tamil Nadu-641663,+918111057686-----Country of origin::India-----"""
143,"""HRX by Hrithik Roshan""","""Men Blue Printed Round Neck Active T-Shirt""",Rs. 899,Rs. 584,(35% OFF),"""{'Product Details ': '""Blue printed waist length T-shirt with RAPID-DRY technology, has a round neck, short sleeves""', 'Size & Fit': '""The model (height 6\') is wearing a size M""', 'Material & Care': '""Polyester  Machine-wash""', 'Specifications': '""""Fabric:Polyester,Fit:Regular Fit,Length:Regular,Main Trend:Typography or Slogan Prints,Multipack Set:Single,Neck:Round Neck,Occasion:Sports,Pattern:Printed,Pattern Coverage:Chest,Print or Pattern Type:Typography,Sleeve Length:Short Sleeves,Sleeve Styling:Regular Sleeves,Wash Care:Machine Wash,""""'}""",1714054,Sold by: Omnitech Retail  Omnitech Retail ,"""Manufacturer/Packer/Importer Details::SHIV SUNDARAM,SHIV SUNDARAM,2ND FLOOR, 1490/50,GHALEYWAL IND AREA, NEAR EKTA COLONY, RAHON ROAD,LUDHIANA,PUNJAB,141007-----Country of origin::INDIA-----"""
144,"""Solly Jeans Co.""","""Men Navy Blue Printed Polo Collar T-shirt""",Rs. 1499,Rs. 1499,0,"""{'Product Details ': '""Navy Blue printed T-shirt, has a polo collar, and short sleeves""', 'Size & Fit': '""The model (height 6\') is wearing a size M""', 'Material & Care': '""Material: 95% Cotton and 5% SpandexMachine Wash""', 'Specifications': '""""Fabric:Cotton,Fit:Regular Fit,Length:Regular,Main Trend:Floral Print,Multipack Set:Single,Neck:Polo Collar,Occasion:Casual,Pattern:Printed,Pattern Coverage:All-Over,Print or Pattern Type:Floral,Sleeve Length:Short Sleeves,Sleeve Styling:Regular Sleeves,Wash Care:Machine Wash,""""'}""",11683246,Sold by: Aditya Birla Fashion and Retail Limited (Madura Fashion & Lifestyle)  Aditya Birla Fashion and Retail Limited (Madura Fashion & Lifestyle) ,"""Manufacturer/Packer/Importer Details::EXIM KNITS P. LTD.,334, PALANKARAI VILLAGE,,KUPPANDAMPALAYAM-641654,AVINASHI,Tamil Nadu-----Country of origin::India-----"""
145,"""HRX by Hrithik Roshan""","""Men Navy Advanced Rapid Dry Round Neck T-shirt""",Rs. 799,Rs. 559,(30% OFF),"""{'Product Details ': '""If you\'re looking for a subtle nautical look, try on the HRX Men\'s Active T-shirt. This cool blue T-shirt is perfect for a weekend by the poolFeaturesAdvanced Rapid Dry Technology processed at the yarn level wicks sweat & dries fastN9 Anti-odor technology prevents the growth of odour-causing microbes keeping you fresh & hygienic all dayThe regular fit follows the shape of your body with added room for comfortReflective logos & sleeve print for greater visibility in low-light Active T-shirt for your daily workoutsReflective print on sleevesStyle: Round NeckSleeve: Short SleevesColour: Navy BluePrint: SolidFit: Regular ""', 'Size & Fit': '""The model (height 6\') is wearing a size M""', 'Material & Care': '""100% polyesterMachine-wash""', 'Specifications': '""""Fabric:Polyester,Fit:Regular Fit,Length:Regular,Main Trend:Nautical,Multipack Set:Single,Neck:Round Neck,Occasion:Sports,Pattern:Solid,Print or Pattern Type:Solid,Sleeve Length:Short Sleeves,Sleeve Styling:Regular Sleeves,Technology:Rapid Dry,Wash Care:Machine Wash,""""'}""",2314400,Sold by: Omnitech Retail  Omnitech Retail ,"""Manufacturer/Packer/Importer Details::PARAGON APPAREL PVT. LTD.,D-71/72, HOUSIERY COMPLEX,,PHASE-2, EXTN.,Noida,Uttar pradesh,201305-----Country of origin::INDIA-----"""
146,"""Roadster""","""Men Olive Brown Printed Round Neck T-shirt""",Rs. 599,Rs. 599,0,"""{'Product Details ': '""Olive brown printed T-shirt, has a round neck, and short sleeves""', 'Size & Fit': '""The model (height 6\') is wearing a size M""', 'Material & Care': '""Material: 100% cottonMachine Wash""', 'Specifications': '""""Fabric:Cotton,Fit:Regular Fit,Length:Regular,Main Trend:Typography or Slogan Prints,Multipack Set:Single,Neck:Round Neck,Occasion:Casual,Pattern:Printed,Pattern Coverage:Chest,Print or Pattern Type:Typography,Sleeve Length:Short Sleeves,Sleeve Styling:Regular Sleeves,Wash Care:Machine Wash,""""'}""",10938456,Sold by: Truenet Commerce  Truenet Commerce ,"""Manufacturer/Packer/Importer Details::EMINENCE TRENDZ#4, ASHER NAGAR, 3RD STREET,TIRUPUR,TAMILNADU-641603-----Country of origin::India-----"""
147,"""UNDER ARMOUR""","""Men Blue Project Rock Iron Paradise Printed Back T-Shirt """,Rs. 3299,Rs. 3299,0,"""{'Product Details ': '""Special technologyHeatGear technologyProduct design detailsBlue printed back t-shirtribbed collarshort sleevesDistressed graphicCharged Cotton\xa0has the comfort of cotton, but dries much faster4-way stretch construction moves better in every directionMaterial wicks sweat and\xa0dries really fastLoose:\xa0Fuller cut for complete comfort\xa0""', 'Size & Fit': '""Loose fit\xa0The model (height 6\') is wearing a size M""', 'Material & Care': '""57% cotton, 38% polyester and 5% elastaneMachine-wash""', 'Specifications': '""""Fabric:Cotton,Fabric 2:Polyester,Fabric 3:Elastane,Fit:Loose,Length:Regular,Main Trend:Typography or Slogan Prints,Multipack Set:Single,Neck:Round Neck,Occasion:Sports,Pattern:Printed,Pattern Coverage:Back,Print or Pattern Type:Typography,Sleeve Length:Short Sleeves,Sleeve Styling:Regular Sleeves,Wash Care:Machine Wash,""""'}""",10819036,Sold by: Supercom Net  Supercom Net ,"""Manufacturer/Packer/Importer Details::CHERRY (SUZHOU) GARMENT LTD WUZHONG ECONOMIC DEVELOPMENT ZONE SUZHOU 215124-----Country of origin::China-----"""
148,"""Mast & Harbour""","""Men White Solid Polo Collar T-shirt""",Rs. 699,Rs. 419,(40% OFF),"""{'Product Details ': '""White solid T-shirt, has a polo collar, and short sleeves""', 'Size & Fit': '""The model (height 6\') is wearing a size M""', 'Material & Care': '""Material: 100% cottonMachine Wash""', 'Specifications': '""""Fabric:Cotton,Fit:Regular Fit,Length:Regular,Main Trend:New Basics,Multipack Set:Single,Neck:Polo Collar,Occasion:Casual,Pattern:Solid,Print or Pattern Type:Solid,Sleeve Length:Short Sleeves,Sleeve Styling:Regular Sleeves,Wash Care:Machine Wash,""""'}""",11607356,Sold by: Truecom Retail  Truecom Retail ,"""Manufacturer/Packer/Importer Details::STAR APPAREL,H.NO:B-24-3102/6/1, STREET NO.1,,NIRANKARI COLONY, SUNDER NAGAR,,LUDHIANA,PUNJAB,141007-----Country of origin::India-----"""
149,"""WROGN""","""Men Rust Red High Density Print Round Neck T-shirt""",Rs. 899,Rs. 629,(30% OFF),"""{'Product Details ': '""Rust red high density print waist length T-shirt, has a round neck, short sleeves""', 'Size & Fit': '""The model (height 6\' and shoulders 18"") is wearing a size M""', 'Material & Care': '""Cotton Machine-wash""', 'Specifications': '""""Fabric:Cotton,Fit:Regular Fit,Length:Regular,Main Trend:Graphic Print Others,Multipack Set:Single,Neck:Round Neck,Occasion:Casual,Pattern:Printed,Pattern Coverage:Chest,Print or Pattern Type:Graphic,Sleeve Length:Short Sleeves,Sleeve Styling:Regular Sleeves,Wash Care:Machine Wash,""""'}""",1700830,Sold by: Flashstar Commerce  Flashstar Commerce ,"""Manufacturer/Packer/Importer Details::Universal SportsBiz Private Limited,Universal Sports Biz Pvt. Ltd.Next SCM solutions Pvt. Ltd.,#88/3, Seggehalli village, Kadugodi,BANGALORE,KARNATAKA,560067-----Country of origin::INDIA-----"""
